"country","Q1","Q3","Q4","Q6","Q12A","Q12B","Q12C","Q12D","Q13A","Q13B","Q13E","Q13F","Q13G","Q17","Q18","Q19B","Q25A","Q25D","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q26G","Q32","Q33","Q39","Q40","Q41","Q42","Q43","Q44","Q70","Q71","Q152","Q164","iso3","iso2","gdp.per.capita","fdi.gdp","trade.gdp"
"Argentina",1.626,4.228,6.914,7.621,16.937,23.084,32.321,37.105,2.015,16.969,17.904,12.957,4.491,8.174,13.149,15.946,11.365,26.127,28.677,31.303,36.288,37.968,45.077,48.397,47.607,2.276,4.327,6.39,8.282,2.543,1.752,3.539,6.22,1.301,1.169,2.561,2.877,"ARG","AR",10490.0195683235,2.01107628387015,22.8566082644851
"Australia",2.58466135458167,6.21115537848606,5.60856573705179,7.18127490039841,9.66135458167331,10.191235059761,16.0816733067729,14.0249003984064,2.20517928286853,2.64940239043825,6.78585657370518,4.83764940239044,3.97310756972112,5.24501992031873,8.11354581673307,8.75298804780877,2.82868525896414,6.42231075697211,16.5368525896414,21.0159362549801,16.253984063745,28.0029880478088,31.2808764940239,27.4701195219124,25.496015936255,2.62948207171315,6.02290836653386,7.64641434262948,5.84163346613546,3.50796812749004,2.65239043824701,6.01892430278884,6.59362549800797,1.08764940239044,1.04980079681275,3.08665338645418,3.25498007968128,"AUS","AU",54941.9114575236,2.72004393430869,40.8147476586503
"Brazil",1.584,3.549,2.922,3.059,7.14,10.604,13.508,16.401,1.447,5.314,5.472,6.047,3.497,9.443,11.705,9.176,5.125,14.337,11.141,13.502,12.464,16.01,19.322,22.273,22.237,1.364,2.3,6.242,3.649,1.312,1.395,1.739,5.224,1.619,1.145,1.679,2.735,"BRA","BR",11322.1466804372,4.14124265413661,26.9559135362429
"Burkina Faso",1.991,4.59,7.014,4.246,15.311,17.282,42.275,40.041,2.57,15.848,28.091,25.538,12.493,15.776,26.021,24.265,16.091,42.353,28.828,32.466,36.793,45.147,46.474,51.317,48.488,2.048,10.632,19.129,4.435,3.111,2.269,2.115,13.794,1.858,1.206,1.695,3.139,"BFA","BF",626.362194376235,1.50148840536211,63.6007021767223
"Canada",3.14641434262948,6.34163346613546,8.07868525896414,7.74501992031873,7.37151394422311,14.1513944223108,18.8356573705179,15.4143426294821,2.21115537848606,4.06673306772908,7.43326693227092,3.61752988047809,3.43227091633466,6.74601593625498,9.05876494023904,7.3406374501992,3.47808764940239,8.42629482071713,18.1354581673307,17.3177290836653,16.3227091633466,22.707171314741,31.0747011952191,28.2290836653386,22.0747011952191,2.4800796812749,7.76294820717131,10.8605577689243,5.30876494023904,3.78585657370518,2.4691235059761,9.80776892430279,8.29681274900398,1.1792828685259,1.24203187250996,4.00099601593625,3.9093625498008,"CAN","CA",50109.8752757682,3.52280471833509,65.5489169481516
"Chile",2.053,3.126,6.201,5.537,8.144,11.436,19.555,20.273,2.597,18.06,20.329,19.63,10.436,6.812,19.43,12.463,6.645,21.809,24.947,27.604,34.933,39.401,43.415,49.068,48.273,1.435,4.706,8.896,5.398,1.84,1.732,2.535,5.216,1.292,1.186,3.687,2.597,"CHL","CL",14907.1163933546,8.44008374788377,59.4666278786579
"China",3.02576048232392,5.09947930939984,4.56892299260071,4.29049054535489,8.75143875034256,2.05316525075363,17.2880241161962,12.1049602630858,5.61277062208824,15.5815291860784,17.9482049876679,15.2507536311318,9.69416278432447,8.00712523979172,17.0257604823239,18.3102219786243,15.6958070704303,17.8303644834201,20.4546451082488,21.6862154014799,24.9471087969307,27.528637983009,20.2189640997534,26.0408331049603,28.6516853932584,5.92326664839682,7.80323376267471,10.3907919978076,9.70731707317073,5.4017539051795,4.76815565908468,4.7944642367772,7.88133735269937,1.79199780761853,1.2987119758838,12.4044943820225,2.49054535489175,"CHN","CN",6496.62387207573,2.19156509626215,40.4623652290393
"Ethiopia",1.46,2.619,4.218,2.525,13.064,18.659,53.642,51.706,8.081,29.159,38.889,34.813,17.886,16.186,25.248,14.862,23.802,49.986,26.189,25.029,35.092,41.101,34.309,45.036,43.152,7.272,10.079,29.924,17.629,10.563,6.756,5.842,22.64,24.228,2.084,1.117,2.94,"ETH","ET",487.290010568137,3.36247479840909,39.6561241449515
"France",2.05094905094905,3.61438561438561,3.82317682317682,2.26573426573427,2.35464535464535,2.76323676323676,3.99200799200799,2.96903096903097,1.73126873126873,1.72127872127872,1.88411588411588,1.84315684315684,1.67932067932068,1.83416583416583,2.34965034965035,1.95504495504496,2.01898101898102,3.57642357642358,1.06193806193806,1.19380619380619,2.28071928071928,3.17582417582418,3.86513486513486,4.81018981018981,1.64635364635365,1.64135864135864,2.22577422577423,2.48351648351648,1.31668331668332,1.67332667332667,1.95904095904096,2.61538461538462,1.65734265734266,1.23476523476523,1.11688311688312,2.97402597402597,3.65534465534466,"FRA","FR",41689.7079785337,1.4369369808924,61.0635194005404
"Germany",2.594,3.4,3.637,6.143,6.589,9.092,9.606,6.198,2.084,2.065,5.011,3.592,3.68,4.55,5.06,4.952,2.528,4.28,12.806,12.74,10.445,12.546,27.158,24.314,9.7,1.715,4.553,8.917,2.098,2.114,2.703,5.825,4.127,1.1,1.04,3.026,2.911,"DEU","DE",45253.5960944992,1.56311434730935,85.9938604994692
"Ghana",2.016,3.469,7.776,5.364,6.702,8.936,22.031,19.192,3.259,12.243,21.965,11.045,6.809,11.287,21.869,10.42,6.41,24.135,10.428,14.531,23.665,31.004,24.344,29.719,30.979,2.691,8.452,7.645,6.807,5.428,2.617,3.62,8.941,2.054,1.35,1.508,5.362,"GHA","GH",1685.98612144005,8.50302271413812,99.2482828705072
"India",2.08768352365416,3.30587275693312,4.16884176182708,5.11827079934747,19.3837683523654,25.807911908646,40.076264274062,36.3874388254486,5.52569331158238,22.3703099510604,33.7699836867863,22.8613376835237,15.2194127243067,15.0595432300163,28.2654975530179,25.8160685154976,15.5407830342577,45.497145187602,16.5224306688418,19.2340946166395,32.2230831973899,41.3144371941272,38.0693311582382,48.2948613376835,46.9910277324633,3.9637030995106,6.95921696574225,14.1953507340946,14.9755301794454,6.64763458401305,4.31076672104405,4.59339314845024,23.3193311582382,2.01427406199021,1.25081566068516,2.27324632952692,4.73980424143556,"IND","IN",1758.04337612882,2.08402837660969,42.1981135837184
"Indonesia",1.783,3.79,6.429,9.847,11.024,14.675,23.652,28.243,5.065,6.722,18.84,22.892,10.996,11.336,26.768,15.613,12.579,40.259,16.188,19.253,23.875,34.33,38.18,44.177,46.066,5.531,16.527,15.501,21.575,12.448,4.817,6.38,19.669,2.936,1.285,1.644,3.041,"IDN","ID",3827.54830741942,2.29654364204368,41.8735519504536
"Israel",2.569,3.233,5.251,11.497,2.948,5.424,6.135,4.734,2.921,2.45,3.415,4.094,2.946,3.614,10.894,7.286,3.869,6.047,13.32,22.851,7.113,6.937,20.594,21.741,18.433,5.285,11.952,5.452,9.973,8.64,3.843,9.227,9.053,1.152,1.035,2.108,2.369,"ISR","IL",33117.9652082667,3.84422040456482,58.4316131465952
"Italy",3.519,3.291,4.106,6.92,3.664,5.957,7.82,7.356,1.757,1.899,4.684,6.232,2.875,3.156,8.31,7.984,4.167,7.76,19.905,24.459,16.729,26.855,36.791,42.761,27.866,1.723,3.773,4.562,3.833,2.038,1.957,3.671,3.618,1.622,1.232,5.122,3.898,"ITA","IT",33911.9338362754,0.712675868171889,57.1261405437763
"Japan",2.147,4.753,4.9,6.432,4.944,5.117,14.649,8.977,2.263,3.06,5.464,5.297,5.662,5.468,3.99,6.858,6.51,9.057,19.962,17.094,12.513,13.803,19.198,14.663,17.408,2.686,6.148,16.183,7.373,5.563,2.372,5.391,8.543,1.473,1.189,4.033,3.375,"JPN","JP",47082.6885940638,0.127433093245314,35.5947617658213
"Jordan",2.237,5.434,4.649,9.85,6.691,5.901,6.303,5.335,3.637,3.338,3.344,6.332,6.932,3.773,6.237,6.029,6.834,9.547,6.204,6.701,7.288,10.759,22.413,19.136,19.344,9.481,4.665,11.395,10.206,4.93,4.369,3.195,3.998,1.339,1.02,1.381,2.666,"JOR","JO",3297.89441163032,3.39785908148493,98.0780329769376
"Kenya",1.73891625615764,2.74778325123153,5.73596059113301,4.77931034482759,6.13103448275862,8.51625615763547,17.6926108374384,18.8394088669951,2.20689655172414,6.76650246305419,7.95960591133005,6.24926108374384,4.22068965517241,5.68472906403941,7.80591133004926,5.83152709359606,3.25024630541872,19.2009852216749,6.47389162561576,9.60788177339901,12.3566502463054,16.2837438423645,20.2049261083744,30,27.7083743842365,2.3448275862069,3.60098522167488,7.01083743842365,4.37832512315271,2.71231527093596,1.69064039408867,2.48374384236453,6.07093596059113,1.54285714285714,1.33004926108374,1.36650246305419,3.30147783251232,"KEN","KE",1107.91805611762,0.97184942569406,44.3775450648384
"Lebanon",1.963,3.401,3.627,5.511,3.308,3.503,3.947,2.829,1.945,1.93,3.546,3.622,3.148,3.981,8.554,4.868,2.956,3.142,4.368,6.392,6.806,3.676,19.439,23.78,5.65,2.808,2.501,4.289,3.089,2.327,2.554,3.187,3.594,1.297,1.1,1.729,2.335,"LBN","LB",7044.60739341358,4.99781578964391,121.930215746393
"Malaysia",1.826,3.281,4.873,6.051,6.634,6.325,20.563,17.78,4.225,11.897,15.497,13.094,6.182,4.242,21.562,9.55,6.425,21.499,13.773,16.427,23.83,26.083,20.766,27.306,28.768,5.2,12.52,8.698,16.454,9.384,5.904,3.883,9.677,1.957,1.648,1.461,3.059,"MYS","MY",10739.5383286163,3.70008222853672,134.155076248732
"Mexico",2.371,3.453,3.911,5.976,5.865,19.114,26.997,28.196,2.298,11.126,9.683,9.579,4.264,8.935,11.08,12.697,8.334,25.153,13.078,15.225,21.314,22.548,26.971,32.037,31.053,2.284,3.878,6.899,5.305,2.758,1.924,2.663,7.693,1.458,1.271,2.515,3.385,"MEX","MX",9612.96469760968,2.88272801924399,72.2323342586788
"Nigeria",2.05444126074499,2.78796561604585,4.21012416427889,4.14231136580707,12.7602674307545,15.9933142311366,26.7765042979943,25.1079274116523,8.41356255969436,13.505253104107,21.8815663801337,14.1232091690544,7.04680038204394,13.5453677172875,24.1595033428844,18.1260744985673,15.1470869149952,27.1642788920726,13.3371537726839,16.981852913085,23.4861509073543,30.1060171919771,26.2903533906399,34.5329512893983,33.1193887297039,8.35243553008596,12.5616045845272,13.7659980897803,13.559694364852,12.8720152817574,6.87870105062082,9.9541547277937,14.7230181470869,1.88538681948424,1.09933142311366,1.51193887297039,4.85768863419293,"NGA","NG",2562.52221567701,0.650345417194235,21.1243510431872
"Pakistan",1.60833333333333,5.06583333333333,15.675,16.4575,16.8416666666667,12.7775,25.1616666666667,44.2525,24.3708333333333,50.5466666666667,44.9466666666667,48.82,51.2258333333333,19.3808333333333,28.3591666666667,26.7833333333333,29.8383333333333,55.6391666666667,34.185,39.2166666666667,54.5033333333333,49.31,39.7516666666667,61.4591666666667,63.0175,20.4875,30.2808333333333,23.765,35.0441666666667,40.915,24.86,22.77,39.5841666666667,2.465,1.67583333333333,1.4125,6.7525,"PAK","PK",1140.00279734428,0.598044891255462,27.6042920579542
"Peru",2.514,4.775,2.547,9.176,12.49,18.667,33.898,34.488,1.667,20.641,19.775,20.453,9.135,10.335,23.127,13.949,16.916,31.059,22.9,23.833,38.31,38.044,40.755,44.671,43.927,2.065,4.221,11.372,8.981,2.408,2.336,3.12,10.97,1.572,1.202,2.091,3.54,"PER","PE",5936.01783967867,4.13140417620701,45.0084394558252
"Philippines",1.729,3.046,7.918,9.136,2.494,5.733,14.233,15.508,1.541,5.834,7.543,5.761,4.629,3.771,10.843,4.604,2.416,23.928,5.093,7.061,16.622,19.175,15.895,20.096,22.996,2.598,3.646,5.519,6.236,4.696,1.793,2.614,5.465,1.786,1.316,1.339,2.605,"PHL","PH",2615.65918578273,1.92611162697168,62.6900087717618
"Poland",2.37743190661479,5.43774319066148,7.14688715953307,8.33657587548638,10.8501945525292,17.2110894941634,19.9445525291829,8.10019455252918,5.0943579766537,6.39785992217899,10.056420233463,8.715953307393,4.80350194552529,6.36673151750973,20.1391050583658,11.6789883268482,10.8356031128405,6.49027237354086,28.2247081712062,35.0252918287938,24.8249027237354,28.9221789883268,34.352140077821,32.8356031128405,22.658560311284,6.50583657587549,13.2850194552529,13.7859922178988,15.7295719844358,13.1556420233463,6.2227626459144,8.6079766536965,11.9562256809339,1.76167315175097,1.95622568093385,5.48054474708171,3.68287937743191,"POL","PL",14641.5679360228,2.94697591480342,95.9511393464535
"Senegal",1.962,2.853,6.766,4.92,13.634,19.516,30.316,37.08,6.239,23.065,29.131,25.541,10.133,8.604,17.009,24.144,13.488,44.418,18.565,24.817,28.996,31.118,38.62,44.991,42.034,5.982,9.398,13.733,11.24,9.459,5.987,4.418,14.178,1.738,1.173,1.136,3.753,"SEN","SN",1054.98368503164,3.00515743503324,75.2954862489696
"South Africa",3.398,4.897,5.776,6.518,11.271,15.305,26.342,25.349,8.39,19.358,21.599,19.925,13.778,12.646,26.737,18.442,8.26,32.308,21.499,24,37.109,38.124,35.506,42.236,42.839,10.415,15.115,14.718,20.129,17.185,9.264,12.834,14.407,2.604,1.484,2.8,6.094,"ZAF","ZA",7605.39536715871,0.479240183135738,61.8275803572509
